cty,bii_crop,wsum_crop,bii_urban,wsum_urban,bii_past,wsum_past,bii_plant,wsum_plant,bii_prim,wsum_prim,bii_secd,wsum_secd,bii_natural_combined,wsum_natural_combined,natfor,other,bii_natfor,bii_other,natfor_capped
AFG,0.5993684376897382,22852.39996933937,0.3060259900041928,199.43999912589788,0.6778070418752785,71412.91993716359,0.5462492716448052,539.4799942448735,0.8890533448145308,29404.63997487724,0.6997032955667783,32336.19996882975,0.7898829891575689,61740.83994975686,1209.44,25700.56,0.8732867765936594,0.7859580989342935,False
AGO,0.6784157872248517,19422.799898907542,0.3260294884111946,209.759998716414,0.709242751528791,96038.95988442747,0.6799536727618243,8962.919923558831,0.8762507150962564,90462.519820787,0.7418830980830149,43139.63990009576,0.8328639119720064,133602.1597814262,65245.01,13450.55,0.8473466586472544,0.762611992782529,False
ALB,0.6023441020693501,2706.5599959790707,0.362547326590058,79.83999954909086,0.6511673471016884,1391.639998063445,0.576040642061487,948.8399948626756,0.7613109924531326,105.79999974370004,0.6361151053246227,2255.2399992123246,0.6417252283234256,2361.039998754859,0.0,660.8,0.7130280314704728,0.6417252283234255,False
ARG,0.649319730567074,146547.79974636436,0.3516904421397149,4171.599987663329,0.7148902550473163,266788.4797544703,0.6622787440569831,1847.55996902287,0.867884876597591,134396.8398278728,0.7388907278955065,135029.63981625438,0.8032363184761501,269426.47965978086,45999.272,108374.928,0.8638832985274228,0.7774949686746806,False
ARM,0.5856214979357154,1993.7999969348311,0.3617605721559643,248.1199989542365,0.6660770974386554,3506.5999981984496,0.6107942255729008,65.31999947875738,0.7514897398608938,175.39999889582396,0.6421747918164298,1577.3199987113476,0.6531142697658718,1752.7199973016975,133.534,378.237,0.7052365167020679,0.6347128650318611,False
AUS,0.6899161774910895,248945.99961251763,0.3103729835982009,2807.479992315173,0.7629370447936108,603718.1593560502,0.6564109136004259,1947.9599692225456,0.8996360667897652,476685.6392229572,0.7754548203380529,393955.9994258061,0.8434453852753336,870641.6388412565,131264.266,248591.778,0.9025088891918339,0.8122580002726505,False
AUT,0.5716209467520099,9501.639985121788,0.364030669511978,1116.1599958986044,0.6438950812417789,3631.639996625483,0.5633700441307312,267.1599956974387,0.717035101023801,155.3599984422326,0.6103484684963224,10219.23999580741,0.6119461045548213,10374.599993243814,2564.136,1725.8736,0.6375966588315671,0.5738369929484104,False
AZE,0.5802505016898635,7387.279988527298,0.3730924948304854,1090.6399978473785,0.6481209237191313,6824.399993099272,0.5682803401220251,2619.5199903324246,0.7170346787794032,528.0399959906936,0.6139296358543569,4115.679991289973,0.6256537679253725,4643.719985067844,867.126,2312.716,0.6747270232066876,0.6072543208860189,False
BDI,0.5211178351775635,2418.159996651113,0.2998799768657461,40.919999837875366,0.5667191401175857,1228.5199988409877,0.5458415511271691,1072.9599956572056,0.64825884191162,33.63999957591295,0.5739159341372779,237.7599987015128,0.5831307292194873,271.3999980688095,166.67,185.36,0.6155418406542129,0.5539876565887917,False
BEN,0.611162324644189,4788.999983280897,0.3369978712456716,362.2799987345934,0.6503741954171554,5301.959988795221,0.619170778184033,7750.759982272983,0.7813889479557355,1143.399994507432,0.6638769558930344,4194.279986642301,0.6890495424229355,5337.67998047173,3240.572,3369.7775,0.7260622325196463,0.6534560092676817,False
BFA,0.6136398162728717,9201.159969091415,0.3086210737203693,112.43999956548214,0.6401376079601211,23734.79996716976,0.6361437877591678,10790.959964424372,0.7468824387309023,809.8399937823415,0.644743387562182,12277.159973412752,0.6510638803180362,13086.99996329099,3711.59,9232.8318,0.7010688215141286,0.6309619393627158,False
BGD,0.5012595694983853,11387.719974681737,0.3269442058293623,2024.3999937847257,0.5221706539998104,856.7999976575375,0.490527614316368,10426.23997488618,0.790024790850134,1017.9999965950848,0.5876242830489643,3295.679992876947,0.6353894666030344,4313.679988875985,1616.032,1721.628,0.6699465749337209,0.6029519174403488,False
BGR,0.5919120209030138,15067.079978562891,0.4202333730197737,1272.5199951156974,0.6197687852999694,4055.319989897311,0.606313317038776,1891.1599775254729,0.7590692396101443,347.1599979400635,0.6387703891318951,8108.199992738664,0.6437096168803051,8455.359990261495,3138.6,1900.4,0.6689378257316739,0.6020440431585066,False
BLR,0.6084948614342325,32973.159970752895,0.3909166205080066,1536.119993135333,0.640280801124935,9951.599974952638,0.6222872343057452,23.95999949425459,0.7937634564123662,2336.519995510578,0.6560144095397793,23115.999989405274,0.6686596565495911,25452.51998205483,6630.85,3249.48,0.6913986342353053,0.6222587708117748,False
BLT,0.6062518684042626,28676.639968544245,0.3705675687553927,692.2399976924062,0.6265659894150621,8244.479976043105,0.5673640891909599,1.919999957084656,0.7795122432529781,682.9599973931909,0.647081289579705,24641.15999276191,0.6506527875676988,25324.119988381863,6721.554,2774.038,0.6702329427821337,0.6032096485039203,False
BLX,0.4754383059952936,4102.759991057217,0.2931914213091369,2400.9199972227216,0.5529501516262022,1582.1599973142147,0.4632200342568287,38.87999924272299,,0.0,0.5394806518997654,2315.319997243583,0.5394806518997654,2315.319997243583,302.0,1049.145,0.5848970839753227,0.5264073755777905,False
BLZ,0.6580507687465658,583.9199975430965,0.4429444052516165,4.679999940097332,0.6607241680477116,707.4799985587597,0.6636396875425382,197.07999742776155,0.8539268785250056,1723.3199986964464,0.6948668864594355,1329.2399977594614,0.7846640618746319,3052.559995532036,1343.878,753.822,0.8139125327356637,0.7325212794620973,False
BOL,0.6902030080149473,15237.399926409124,0.3816152324732433,403.3199976757169,0.7115331238431354,73494.6799089387,0.7290258678136271,670.6399901658297,0.9067390804795364,112377.99990612268,0.7648837524338817,25989.51991377026,0.8800944468749361,138367.51987233013,55230.228,14345.5258,0.8986227636172824,0.8087604872555542,False
BRA,0.6593985325430775,189909.43931706995,0.3030600739885105,7567.319975890219,0.7065226583068693,560595.5193033218,0.6628707276392883,48359.39950753003,0.9331131480876234,750020.3194596022,0.7203261244517055,198160.1993770376,0.8886427986479967,948180.5189007148,489567.544,99920.368,0.9039653435118082,0.8135688091606275,False
BTN,0.6896786179099481,830.8799971118569,0.4638910144745043,3.759999990463257,0.7873489080932722,934.5199978724122,0.6860975894977489,234.51999730616808,0.875682057951463,5644.199994176626,0.7621146222946216,1525.9999952614307,0.8515120339698279,7170.199994631112,2688.296,585.324,0.8670142688007344,0.780312841920661,False
BWA,0.6994038351557118,6942.079974502325,0.3602845271605717,107.87999957799911,0.7467898798374473,53434.43995207548,0.7514825955571218,988.9999851509928,0.8708668663775727,38970.39991608262,0.7392506542403359,26299.359944820404,0.8178343113053508,65269.75989475101,15730.2,15080.8,0.8599242998864675,0.7739318698978207,False
CAF,0.7302615181499849,6739.79996624589,0.4355339809726868,53.27999960631132,0.8026591451560713,3174.679988414049,0.7283328990723412,2764.199975721538,0.8962177055804873,89121.19986628741,0.7971244420147129,24965.23992466181,0.8745333836113446,114086.43988988549,45277.268,11406.934,0.8924936184598348,0.8032442566138513,False
CAN,0.6631397173472758,235760.47954697907,0.2973927756685881,3647.799991451204,0.6870572116943489,52782.19989221543,0.542417645584584,244.67999536544085,0.9576082330335026,3160018.879046313,0.8561170363547461,560100.3588139415,0.942327740139954,3720119.238971606,349962.704,451581.886,0.9985870987607446,0.8987283888846701,False
CHL,0.6379158736476314,12043.99996072799,0.3344949902474574,1093.3199970796704,0.6961362544139006,30717.439953133464,0.5969556497566804,2125.6799816563725,0.8991429165421894,97117.59994105996,0.7164835358337944,43371.47993547469,0.8427527140316045,140489.0799003765,15017.378,45283.7319,0.9111785977364684,0.8200607379628215,False
CHM,0.5710060674763016,535591.7191600427,0.3120276260700619,62371.7998341322,0.718537498335706,885874.9993366078,0.5748749473989155,50260.51957499236,0.9003311530157013,522174.8794344589,0.6718147483929654,309027.67963154614,0.8153724465321811,831202.5590189025,131750.0,197605.0,0.867415254882133,0.7806737293939198,False
CHP,0.5468825085314123,3099.239993840456,0.3351601566240814,700.1599981337786,0.6375251316030045,3693.4399969652295,0.4939432022825526,103.19999830424786,0.8037217319498289,404.6799983754754,0.5853255934214133,3968.879996687174,0.6055335131234987,4373.5599956437945,1106.644,1288.692,0.6399635870206388,0.5759672283185749,False
CIV,0.6291800247151185,4901.0799675658345,0.3599045205439279,323.319998241961,0.6584236102418674,28568.719956852496,0.6291145519087608,23567.479957707223,0.8060998834159172,1977.0399884283545,0.6422138936851574,6237.759978577495,0.6816560172333238,8214.79996407777,3240.19,865.6502,0.6963371634903769,0.6267034471413392,False
